"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2022","1,957.75","1,959.90","1,965.00","1,942.80","-","-0.23%"
"Mar 24, 2022","1,962.20","1,944.10","1,967.20","1,937.40","181.20K","1.29%"
"Mar 23, 2022","1,937.30","1,920.90","1,948.80","1,915.60","153.31K","0.82%"
"Mar 22, 2022","1,921.50","1,936.10","1,939.50","1,909.80","153.28K","-0.41%"
"Mar 21, 2022","1,929.50","1,922.40","1,941.80","1,917.20","146.41K","0.01%"
"Mar 18, 2022","1,929.30","1,943.90","1,946.20","1,918.00","150.88K","-0.72%"
"Mar 17, 2022","1,943.20","1,928.40","1,951.00","1,924.00","149.83K","1.78%"
"Mar 16, 2022","1,909.20","1,920.10","1,930.10","1,895.20","195.46K","-1.06%"
"Mar 15, 2022","1,929.70","1,953.70","1,956.90","1,908.10","220.37K","-1.59%"
"Mar 14, 2022","1,960.80","1,988.70","1,994.80","1,952.00","162.20K","-1.22%"
"Mar 11, 2022","1,985.00","2,000.30","2,004.00","1,960.60","262.09K","-0.77%"
"Mar 10, 2022","2,000.40","1,992.80","2,015.10","1,975.00","303.27K","0.61%"
"Mar 09, 2022","1,988.20","2,060.20","2,068.50","1,981.00","360.35K","-2.70%"
"Mar 08, 2022","2,043.30","2,001.00","2,078.80","1,985.80","447.65K","2.37%"
"Mar 07, 2022","1,995.90","1,978.50","2,007.50","1,964.20","372.19K","1.49%"
"Mar 04, 2022","1,966.60","1,938.50","1,974.90","1,931.50","241.53K","1.59%"
"Mar 03, 2022","1,935.90","1,931.70","1,944.60","1,923.10","180.21K","0.71%"
"Mar 02, 2022","1,922.30","1,945.30","1,951.40","1,916.00","227.98K","-1.11%"
"Mar 01, 2022","1,943.80","1,908.40","1,952.60","1,903.00","224.00K","2.27%"
"Feb 28, 2022","1,900.70","1,921.00","1,935.20","1,892.20","249.27K","0.69%"
"Feb 25, 2022","1,887.60","1,906.50","1,925.00","1,884.40","229.78K","-2.01%"
"Feb 24, 2022","1,926.30","1,911.90","1,976.50","1,878.60","423.05K","0.83%"
"Feb 23, 2022","1,910.40","1,901.20","1,912.90","1,891.10","154.84K","0.16%"
"Feb 22, 2022","1,907.40","1,903.50","1,918.30","1,889.70","334.59K","-0.24%"
"Feb 21, 2022","1,912.05","1,907.80","1,918.30","1,889.70","-","0.21%"
"Feb 20, 2022","1,908.00","1,900.80","1,909.35","1,900.80","-","0.43%"
