"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2022","25.735","25.872","26.027","25.470","-","-0.71%"
"Mar 24, 2022","25.920","25.285","26.160","25.170","61.00K","2.90%"
"Mar 23, 2022","25.189","24.915","25.370","24.780","34.15K","1.14%"
"Mar 22, 2022","24.904","25.410","25.590","24.695","45.76K","-1.62%"
"Mar 21, 2022","25.313","25.150","25.520","25.050","34.84K","1.06%"
"Mar 20, 2022","25.047","25.090","25.293","25.047","-","-0.16%"
"Mar 18, 2022","25.087","25.595","25.640","24.980","38.06K","-2.07%"
"Mar 17, 2022","25.616","25.240","25.750","25.165","40.14K","3.67%"
"Mar 16, 2022","24.710","25.115","25.250","24.550","46.30K","-1.78%"
"Mar 15, 2022","25.158","25.260","25.315","24.750","47.79K","-0.55%"
"Mar 14, 2022","25.298","26.280","26.290","25.160","52.36K","-2.32%"
"Mar 13, 2022","25.900","26.145","26.282","25.855","-","-0.99%"
"Mar 11, 2022","26.160","26.255","26.350","25.695","51.55K","-0.37%"
"Mar 10, 2022","26.256","26.060","26.425","25.600","55.85K","1.70%"
"Mar 09, 2022","25.816","26.925","27.390","25.730","87.11K","-4.01%"
"Mar 08, 2022","26.895","25.805","27.495","25.550","127.21K","4.57%"
"Mar 07, 2022","25.720","26.025","26.370","25.465","81.50K","-1.96%"
"Mar 06, 2022","26.235","25.863","26.275","25.863","-","1.73%"
"Mar 04, 2022","25.789","25.285","25.920","25.155","70.86K","2.29%"
"Mar 03, 2022","25.212","25.450","25.665","25.075","57.47K","0.09%"
"Mar 02, 2022","25.190","25.505","25.545","24.960","69.47K","-1.37%"
"Mar 01, 2022","25.541","24.455","25.650","24.345","68.56K","4.82%"
"Feb 28, 2022","24.366","24.620","24.880","24.155","55.28K","-0.38%"
"Feb 27, 2022","24.460","24.195","24.795","24.195","-","1.84%"
"Feb 25, 2022","24.017","24.330","24.550","23.920","67.32K","-2.80%"
"Feb 24, 2022","24.710","24.650","25.705","23.880","90.87K","0.46%"
"Feb 23, 2022","24.598","24.200","24.660","24.095","37.69K","0.99%"
"Feb 22, 2022","24.356","24.095","24.425","23.755","42.99K","1.32%"
"Feb 21, 2022","24.038","24.032","24.207","23.707","-","0.02%"
"Feb 20, 2022","24.032","23.940","24.090","23.920","-","-0.02%"
"Feb 18, 2022","24.038","23.900","24.165","23.745","-","0.48%"
"Feb 17, 2022","23.922","23.675","23.975","23.480","-","1.13%"
"Feb 16, 2022","23.654","23.450","23.710","23.340","-","1.13%"
"Feb 15, 2022","23.390","23.935","24.060","23.125","-","-2.12%"
"Feb 14, 2022","23.897","23.650","24.015","23.605","-","1.04%"
"Feb 13, 2022","23.650","23.617","23.655","23.555","-","0.98%"
"Feb 11, 2022","23.420","23.245","23.755","22.910","-","-0.63%"
"Feb 10, 2022","23.569","23.325","23.780","23.195","-","0.78%"
"Feb 09, 2022","23.386","23.230","23.405","23.150","-","0.62%"
"Feb 08, 2022","23.243","23.070","23.310","22.820","15.28K","0.54%"
"Feb 07, 2022","23.119","22.580","23.140","22.580","-","2.33%"
"Feb 06, 2022","22.593","22.510","22.605","22.500","-","0.34%"
